更新时间,#genre#
2025-02-18 06:27:42,url
📺央视频道,#genre#
CCTV-1,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000501/index.m3u8?channel-id=newtv$订阅源-IPv6
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/$订阅源-IPv6
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?$订阅源-IPv6
CCTV-1,http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120$订阅源
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源
CCTV-1,http://www.52iptv.vip:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源
CCTV-1,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.61:9884$组播源
CCTV-1,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$组播源
CCTV-1,http://221.205.180.88:8003/rtp/226.0.2.153:9136$组播源
CCTV-2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000222$订阅源-IPv6
CCTV-2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/$订阅源-IPv6
CCTV-2,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000502$订阅源-IPv6
CCTV-2,http://www.freetv.top/migu/631780532.m3u8?migutoken=d69d5e5f850768f4609f5e7c6f63984da2c614f71e21226d8dea3a6e40d20f871ca2d383cd042bac96e3e8178933a15192f0ffaef2e700eb95de835faecc0bb802bd0c50099bf3d1abe4ea5174$订阅源
CCTV-2,http://www.52iptv.vip:35455/gaoma/cctv2.m3u8$订阅源
CCTV-2,http://www.52iptv.vip:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源
CCTV-2,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.174:9032$组播源
CCTV-2,http://221.205.180.88:8003/rtp/226.0.2.154:9144$组播源
CCTV-2,http://125.82.168.238:8888/rtp/235.254.198.52:1484$组播源
CCTV-3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源-IPv6
CCTV-3,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000003$订阅源-IPv6
CCTV-3,http://www.freetv.top/migu/624878271.m3u8?migutoken=21306af96cf9259457600792df858b0d339bc7203aeb7e1a6ee6ec6ec3832a2736936029fe2583dcf971676870fdf0afbdee5be786e50af2ac6a8825673cc860d7988f44d0c5c4bc1931259698$订阅源
CCTV-3,http://www.52iptv.vip:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$订阅源
CCTV-3,http://www.52iptv.vip:35455/gaoma/cctv3.m3u8$订阅源
CCTV-3,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.34:9722$组播源
CCTV-3,http://221.205.180.88:8003/rtp/226.0.2.208:9576$组播源
CCTV-3,http://125.82.168.238:8888/rtp/235.254.198.53:1488$组播源
